实例,算法,迭代次数,解,适应度值,开始时间,最快时间,结束时间,运行时间,最快最佳结果时间,备注
Du62,模拟退火算法,5513,"[array([48, 14, 13, 10, 17]), array([18, 43, 50, 51, 62, 57, 41]), array([11, 37, 49, 46, 60, 15, 40]), array([33,  3,  2, 61, 52, 24]), array([30, 20, 26,  5, 29,  4, 31, 25]), array([21, 53,  7, 32, 38, 28]), array([12, 22,  8, 35, 16]), array([39, 44,  6, 56, 47, 27, 58, 59,  1, 19, 34]), array([55, 23, 54, 42, 36, 45,  9])]",4522448.308856476,2025-03-28 14:45:20.668129,2025-03-28 14:45:24.903980,2025-03-28 14:45:26.255603,5.587474,4.235851,包含修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[array([37, 17,  9, 47, 22, 20, 14, 35, 34]), array([10, 61, 48, 38, 24, 13]), array([43, 41, 54, 40, 57, 28, 25]), array([50, 36, 39,  5, 62, 56,  7]), array([ 3, 16, 18, 29, 27]), array([ 1, 21, 53, 52, 55, 60,  8, 46]), array([11, 42, 19, 32,  4, 58, 15]), array([31, 45, 26,  2, 12, 49,  6]), array([23, 51, 59, 44, 33, 30])]",4525115.530438141,2025-03-28 14:45:26.259635,2025-03-28 14:45:26.378630,2025-03-28 14:45:31.869261,5.609626,0.118995,包含修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[array([14, 26, 44, 13, 25, 30, 17]), array([48, 57,  3, 49, 28, 41]), array([11,  8, 54, 51, 46, 20, 61, 24, 47, 39]), array([53, 21, 12, 22, 18,  5]), array([37, 52, 16, 43, 19, 10]), array([35, 45, 38, 42,  9,  2, 55, 59, 56,  4,  1]), array([60,  7, 62, 32, 33, 50, 29, 36, 23]), array([ 6, 31, 40, 27, 15, 58, 34])]",4382599.874448355,2025-03-28 14:45:31.873441,2025-03-28 14:45:32.188406,2025-03-28 14:45:37.529505,5.656064,0.314965,包含修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[array([48, 40, 58, 46, 32, 24]), array([23, 22, 39,  7, 61,  8]), array([55, 30, 21, 59,  1, 11, 38, 50, 14]), array([37, 27, 36, 62, 35,  6]), array([33, 25, 29,  2, 13, 57]), array([52,  4, 10, 17, 44, 20, 28, 34]), array([47,  5, 18, 49, 16, 45, 26]), array([41, 60, 31, 12, 43, 56, 42, 19]), array([54, 53,  9,  3, 51, 15])]",4492247.158685072,2025-03-28 14:45:37.533475,2025-03-28 14:45:40.293471,2025-03-28 14:45:43.175419,5.641944,2.759996,包含修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[array([37, 17, 46, 10, 15, 40]), array([51, 38, 26, 49,  8, 19]), array([24, 11, 14, 27, 41, 23, 57]), array([12,  5, 54, 59, 42, 33, 47, 20, 28]), array([32,  3,  4, 31, 43, 44, 56,  9]), array([45,  1, 60, 61, 50,  2, 30, 52, 36, 13]), array([25, 35, 21,  7, 34]), array([48, 29, 58, 16, 39, 53, 18, 62, 22, 55,  6])]",4477801.429248239,2025-03-28 14:45:43.179858,2025-03-28 14:45:47.809578,2025-03-28 14:45:48.756442,5.576584,4.62972,包含修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[array([23, 14,  7,  9, 29, 54]), array([ 6, 51, 12, 17, 38, 35]), array([60, 47, 45, 36, 11, 33]), array([20, 49, 15, 26, 16, 55, 61, 31, 56,  4]), array([52, 28, 10, 43,  1, 50, 21,  5, 41, 37]), array([44, 27, 48, 53, 30, 24]), array([42, 25,  3, 58, 13, 59, 22, 19]), array([ 2, 57,  8, 40, 32, 62, 46, 39, 18, 34])]",4524263.962386706,2025-03-28 14:45:48.760403,2025-03-28 14:45:50.891313,2025-03-28 14:45:54.392753,5.63235,2.13091,包含修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[array([51, 11, 45, 20, 47,  7]), array([14, 34, 22, 30, 21, 50, 31, 39, 57]), array([49, 43, 25, 55, 35, 26]), array([24,  3, 56, 61, 42, 33]), array([ 8, 52, 27, 13, 59, 18, 19, 23]), array([41, 36,  5, 28, 16,  6]), array([40, 46, 32, 37, 44,  1]), array([29, 38,  4, 60,  2, 58, 62, 53, 15]), array([10, 48, 54,  9, 17, 12])]",4443992.546926115,2025-03-28 14:45:54.396842,2025-03-28 14:45:56.730683,2025-03-28 14:46:00.159672,5.76283,2.333841,包含修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[array([14, 18,  7, 17, 35, 20, 26, 12,  4, 13]), array([50,  9, 39, 45, 25, 32, 60, 22]), array([43,  8,  3, 28, 46]), array([51, 30, 23, 56, 40,  5]), array([62,  2,  1, 27, 34, 44]), array([24, 53, 52, 15, 16, 49]), array([31, 33, 55, 19, 58, 11, 21, 29]), array([36,  6, 54, 59, 57, 42, 47]), array([38, 37, 41, 61, 48, 10])]",4557195.70220314,2025-03-28 14:46:00.163600,2025-03-28 14:46:03.166524,2025-03-28 14:46:05.888497,5.724897,3.002924,包含修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[array([ 6, 40,  5, 46, 61, 10, 58, 54, 45, 38]), array([ 9, 51, 25, 28, 22, 59,  4]), array([15, 49, 19, 57,  3, 53, 17]), array([60, 26, 36, 37,  7, 13]), array([29, 44,  2, 30, 16,  8, 35]), array([33,  1, 47, 11, 48]), array([50, 52, 56, 41, 43, 31, 20, 32]), array([14, 12, 24, 21, 27, 42]), array([39, 23, 34, 18, 55, 62])]",4474656.8040480465,2025-03-28 14:46:05.892510,2025-03-28 14:46:11.576334,2025-03-28 14:46:11.653475,5.760965,5.683824,包含修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[array([39, 35, 11, 45, 22,  9]), array([51, 50,  7, 27, 49, 16, 55, 30, 24, 14]), array([33, 60, 52, 47, 23,  1, 15, 20]), array([40, 25,  4,  5, 19, 32]), array([13, 28, 46, 61, 26]), array([ 8, 37, 56, 42, 29,  3,  2, 43, 21,  6, 59]), array([18, 41, 62, 36, 58, 10, 34, 48, 38, 31]), array([54, 57, 53, 12, 44, 17])]",4430315.673898316,2025-03-28 14:46:11.657493,2025-03-28 14:46:13.320830,2025-03-28 14:46:17.427470,5.769977,1.663337,包含修复动作算子-K分初始解
